parcel_id,planning_unit_hint,address,lon,lat
PAR-001,PU-101,381 Pine Ave,-78.961096,36.0217
PAR-002,PU-101,532 Maple St,-78.954019,36.023434
PAR-003,PU-101,833 Oak St,-78.962143,36.036715
PAR-004,PU-101,532 Cedar Dr,-78.957753,36.02547
PAR-005,PU-101,467 Cedar Dr,-78.976138,36.031638
PAR-006,PU-101,743 Willow Ln,-78.976794,36.029209
PAR-007,PU-101,181 Pine Ave,-78.972619,36.029103
PAR-008,PU-101,818 Oak St,-78.969052,36.039765
PAR-009,PU-101,755 Oak St,-78.974425,36.031625
PAR-010,PU-101,167 Pine Ave,-78.956459,36.032233
PAR-011,PU-101,862 Willow Ln,-78.975,36.02491
PAR-012,PU-101,241 Willow Ln,-78.967817,36.027141
PAR-013,PU-101,796 Elm Rd,-78.97472,36.025479
PAR-014,PU-101,111 Oak St,-78.95181,36.045102
PAR-015,PU-101,839 Oak St,-78.966827,36.033704
PAR-016,PU-101,740 Cedar Dr,-78.964785,36.02398
PAR-017,PU-101,643 Maple St,-78.963897,36.042802
PAR-018,PU-101,680 Maple St,-78.972295,36.027744
PAR-019,PU-101,228 Pine Ave,-78.951616,36.035916
PAR-020,PU-101,652 Oak St,-78.967152,36.02693
PAR-021,PU-101,165 Cedar Dr,-78.966358,36.027941
PAR-022,PU-101,746 Maple St,-78.972834,36.022988
PAR-023,PU-101,785 Elm Rd,-78.977016,36.027664
PAR-024,PU-101,584 Elm Rd,-78.962866,36.027804
PAR-025,PU-101,984 Oak St,-78.96908,36.032511
PAR-026,PU-101,211 Pine Ave,-78.95861,36.043417
PAR-027,PU-101,355 Maple St,-78.967187,36.028799
PAR-028,PU-101,115 Maple St,-78.96074,36.036136
PAR-029,PU-101,371 Elm Rd,-78.968389,36.048589
PAR-030,PU-101,322 Maple St,-78.965373,36.026317
PAR-031,PU-101,973 Willow Ln,-78.962643,36.03508
PAR-032,PU-101,982 Pine Ave,-78.977081,36.022903
PAR-033,PU-102,529 Oak St,-78.962353,36.008343
PAR-034,PU-102,234 Oak St,-78.970203,35.998437
PAR-035,PU-102,175 Willow Ln,-78.951043,36.018891
PAR-036,PU-102,478 Cedar Dr,-78.954336,36.01562
PAR-037,PU-102,769 Willow Ln,-78.961873,36.018643
PAR-038,PU-102,370 Maple St,-78.9761,36.015588
PAR-039,PU-102,749 Cedar Dr,-78.958907,35.996701
PAR-040,PU-102,383 Maple St,-78.976416,36.00286
PAR-041,PU-102,822 Elm Rd,-78.974476,36.003371
PAR-042,PU-102,251 Elm Rd,-78.955631,36.00731
PAR-043,PU-102,355 Oak St,-78.95383,35.996882
PAR-044,PU-102,342 Pine Ave,-78.951733,36.011985
PAR-045,PU-102,373 Pine Ave,-78.954806,36.013701
PAR-046,PU-102,412 Pine Ave,-78.956136,36.003888
PAR-047,PU-102,891 Cedar Dr,-78.971199,35.992944
PAR-048,PU-102,128 Maple St,-78.951528,36.006014
PAR-049,PU-102,905 Cedar Dr,-78.962296,36.000679
PAR-050,PU-102,145 Oak St,-78.953814,35.996322
PAR-051,PU-102,854 Oak St,-78.959768,36.017327
PAR-052,PU-102,779 Maple St,-78.953218,36.008448
PAR-053,PU-102,296 Elm Rd,-78.959478,36.006524
PAR-054,PU-102,100 Cedar Dr,-78.970573,36.006342
PAR-055,PU-201,552 Elm Rd,-78.932013,36.030023
PAR-056,PU-201,734 Cedar Dr,-78.941054,36.039588
PAR-057,PU-201,125 Maple St,-78.94271,36.026576
PAR-058,PU-201,689 Pine Ave,-78.936248,36.045812
PAR-059,PU-201,981 Maple St,-78.929747,36.045994
PAR-060,PU-201,224 Elm Rd,-78.933393,36.046689
PAR-061,PU-201,873 Elm Rd,-78.921339,36.037673
PAR-062,PU-201,869 Pine Ave,-78.924878,36.033602
PAR-063,PU-201,392 Pine Ave,-78.941311,36.02317
PAR-064,PU-201,810 Pine Ave,-78.945126,36.027475
PAR-065,PU-201,530 Elm Rd,-78.937358,36.026791
PAR-066,PU-201,955 Elm Rd,-78.927903,36.044897
PAR-067,PU-201,379 Elm Rd,-78.923861,36.03467
PAR-068,PU-201,269 Elm Rd,-78.929984,36.032321
PAR-069,PU-201,286 Maple St,-78.936999,36.045272
PAR-070,PU-201,488 Cedar Dr,-78.939848,36.042314
PAR-071,PU-201,458 Pine Ave,-78.933896,36.048997
PAR-072,PU-201,584 Oak St,-78.931603,36.027679
PAR-073,PU-201,720 Willow Ln,-78.941825,36.031329
PAR-074,PU-201,506 Oak St,-78.930034,36.047829
PAR-075,PU-201,408 Oak St,-78.9422,36.040521
PAR-076,PU-201,618 Oak St,-78.937005,36.031376
PAR-077,PU-201,750 Elm Rd,-78.946045,36.047902
PAR-078,PU-201,893 Elm Rd,-78.931754,36.046749
PAR-079,PU-201,188 Cedar Dr,-78.925152,36.04426
PAR-080,PU-201,971 Cedar Dr,-78.938388,36.021804
PAR-081,PU-201,818 Cedar Dr,-78.939471,36.045649
PAR-082,PU-201,807 Elm Rd,-78.93532,36.042229
PAR-083,PU-201,779 Willow Ln,-78.937677,36.027813
PAR-084,PU-201,438 Cedar Dr,-78.937086,36.041886
PAR-085,PU-201,648 Oak St,-78.943608,36.024348
PAR-086,PU-201,878 Willow Ln,-78.941258,36.037508
PAR-087,PU-201,646 Pine Ave,-78.943976,36.021396
PAR-088,PU-201,989 Elm Rd,-78.929472,36.024536
PAR-089,PU-201,288 Maple St,-78.935857,36.033333
PAR-090,PU-201,744 Oak St,-78.93778,36.023074
PAR-091,PU-201,354 Maple St,-78.922424,36.023385
PAR-092,PU-201,404 Willow Ln,-78.938349,36.046438
PAR-093,PU-201,183 Pine Ave,-78.931486,36.02841
PAR-094,PU-201,708 Elm Rd,-78.948925,36.033614
PAR-095,PU-202,172 Oak St,-78.941084,36.015069
PAR-096,PU-202,302 Elm Rd,-78.932486,36.013509
PAR-097,PU-202,173 Maple St,-78.923564,36.014146
PAR-098,PU-202,549 Maple St,-78.925921,36.016793
PAR-099,PU-202,605 Elm Rd,-78.922605,36.005013
PAR-100,PU-202,193 Pine Ave,-78.939975,35.99801
PAR-101,PU-202,285 Willow Ln,-78.930758,36.01665
PAR-102,PU-202,786 Maple St,-78.939257,36.000333
PAR-103,PU-202,663 Maple St,-78.922535,36.01378
PAR-104,PU-202,985 Willow Ln,-78.945754,36.012631
PAR-105,PU-202,874 Elm Rd,-78.943748,36.00113
PAR-106,PU-202,224 Maple St,-78.936733,36.010551
PAR-107,PU-202,216 Elm Rd,-78.94639,36.018783
PAR-108,PU-202,664 Pine Ave,-78.921553,35.997824
PAR-109,PU-202,382 Elm Rd,-78.924379,36.015193
PAR-110,PU-202,701 Willow Ln,-78.941081,35.99936
PAR-111,PU-202,429 Pine Ave,-78.92764,36.001562
PAR-112,PU-202,490 Elm Rd,-78.935757,36.016576
